#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.3498660000e+01	2.6738483416e+00	6.9293744434e-06                 	6.8008979542e-06                 	1.2847648920e-07                 	9.8145915042e-01                 	3.7059615458e-01                 
2.4267290000e+01	2.5891582073e+00	6.9320042705e-06                 	6.8041191604e-06                 	1.2788511012e-07                 	9.8155149577e-01                 	3.5811543750e-01                 
2.5061060000e+01	2.5071506581e+00	6.9523513999e-06                 	6.8248021048e-06                 	1.2754929516e-07                 	9.8165379052e-01                 	3.4559968803e-01                 
2.5880790000e+01	2.4277409257e+00	6.9881242652e-06                 	6.8605461046e-06                 	1.2757816055e-07                 	9.8174357586e-01                 	3.3410129080e-01                 
2.6727340000e+01	2.3508457284e+00	7.0327782540e-06                 	6.9047925532e-06                 	1.2798570086e-07                 	9.8180154468e-01                 	3.2428174979e-01                 
2.7601580000e+01	2.2763861008e+00	7.0772948616e-06                 	6.9485985665e-06                 	1.2869629507e-07                 	9.8181560927e-01                 	3.1629737013e-01                 
2.8504410000e+01	2.2042853394e+00	7.1121736887e-06                 	6.9826059953e-06                 	1.2956769335e-07                 	9.8178226531e-01                 	3.0981631867e-01                 
2.9436780000e+01	2.1344675971e+00	7.1293171727e-06                 	6.9988949340e-06                 	1.3042223869e-07                 	9.8170620895e-01                 	3.0410839487e-01                 
3.0399640000e+01	2.0668617481e+00	7.1236283544e-06                 	6.9925462338e-06                 	1.3108212068e-07                 	9.8159896696e-01                 	2.9816514894e-01                 
3.1394000000e+01	2.0013968616e+00	7.0941220811e-06                 	6.9627181408e-06                 	1.3140394029e-07                 	9.8147706809e-01                 	2.9083542900e-01                 
3.2420880000e+01	1.9380057874e+00	7.0442871690e-06                 	6.9129799475e-06                 	1.3130722149e-07                 	9.8135975744e-01                 	2.8097974803e-01                 
3.3481350000e+01	1.8766224502e+00	6.9815170356e-06                 	6.8507272686e-06                 	1.3078976701e-07                 	9.8126628262e-01                 	2.6763979783e-01                 
3.4576510000e+01	1.8171831996e+00	6.9156760885e-06                 	6.7857499457e-06                 	1.2992614281e-07                 	9.8121280680e-01                 	2.5020324454e-01                 
3.5707490000e+01	1.7596267078e+00	6.8571748080e-06                 	6.7283259058e-06                 	1.2884890224e-07                 	9.8120962264e-01                 	2.2852360587e-01                 
3.6875470000e+01	1.7038929422e+00	6.8150993083e-06                 	6.6873794127e-06                 	1.2771989553e-07                 	9.8125927595e-01                 	2.0295299111e-01                 
3.8081650000e+01	1.6499246506e+00	6.7958661030e-06                 	6.6691661256e-06                 	1.2669997738e-07                 	9.8135631640e-01                 	1.7427034282e-01                 
3.9327280000e+01	1.5976658714e+00	6.8026002273e-06                 	6.6766750619e-06                 	1.2592516539e-07                 	9.8148867180e-01                 	1.4352304155e-01                 
4.0613650000e+01	1.5470624549e+00	6.8351647223e-06                 	6.7096718893e-06                 	1.2549283300e-07                 	9.8164011577e-01                 	1.1183520700e-01                 
4.1942110000e+01	1.4980613296e+00	6.8906039678e-06                 	6.7651469167e-06                 	1.2545705112e-07                 	9.8179302544e-01                 	8.0237899251e-02                 
4.3314010000e+01	1.4506127018e+00	6.9637469199e-06                 	6.8379164356e-06                 	1.2583048426e-07                 	9.8193063509e-01                 	4.9560519746e-02                 
4.4730790000e+01	1.4046667423e+00	7.0478057402e-06                 	6.9212158540e-06                 	1.2658988620e-07                 	9.8203839736e-01                 	2.0385747200e-02                 
4.6193920000e+01	1.3601758212e+00	7.1348782307e-06                 	7.0071961395e-06                 	1.2768209112e-07                 	9.8210451714e-01                 	-6.9389120030e-03                
4.7704900000e+01	1.3170943251e+00	7.2163605233e-06                 	7.0873304982e-06                 	1.2903002510e-07                 	9.8211979228e-01                 	-3.2260444970e-02                
4.9265300000e+01	1.2753774578e+00	7.2833102946e-06                 	7.1527724318e-06                 	1.3053786278e-07                 	9.8207712462e-01                 	-5.5569596835e-02                
5.0876750000e+01	1.2349816581e+00	7.3268061842e-06                 	7.1947102126e-06                 	1.3209597156e-07                 	9.8197086585e-01                 	-7.6951656878e-02                
5.2540900000e+01	1.1958655651e+00	7.3383508427e-06                 	7.2047649275e-06                 	1.3358591518e-07                 	9.8179619399e-01                 	-9.6546016410e-02                
5.4259490000e+01	1.1579882721e+00	7.3103398385e-06                 	7.1754537012e-06                 	1.3488613730e-07                 	9.8154858183e-01                 	-1.1451770340e-01                
5.6034290000e+01	1.1213107737e+00	7.2365783039e-06                 	7.1006996588e-06                 	1.3587864511e-07                 	9.8122335731e-01                 	-1.3103682240e-01                
5.7867140000e+01	1.0857950310e+00	7.1128017286e-06                 	6.9763446051e-06                 	1.3645712354e-07                 	9.8081527804e-01                 	-1.4626675632e-01                
5.9759950000e+01	1.0514040435e+00	6.9371199606e-06                 	6.8005864615e-06                 	1.3653349907e-07                 	9.8031841746e-01                 	-1.6035741519e-01                
6.1714670000e+01	1.0181023908e+00	6.7103043751e-06                 	6.5742582844e-06                 	1.3604609065e-07                 	9.7972579438e-01                 	-1.7344194136e-01                
6.3733320000e+01	9.8585564147e-01	6.4358293999e-06                 	6.3008658271e-06                 	1.3496357277e-07                 	9.7902934270e-01                 	-1.8563633257e-01                
6.5818010000e+01	9.5463009398e-01	6.1196347203e-06                 	5.9863467666e-06                 	1.3328795373e-07                 	9.7821962260e-01                 	-1.9704021237e-01                
6.7970890000e+01	9.2439356130e-01	5.7696342140e-06                 	5.6385813602e-06                 	1.3105285381e-07                 	9.7728576042e-01                 	-2.0773801471e-01                
